date,hour,day_of_week,is_weekend,demand_orders,is_peak
2025-02-18,10,Tuesday,FALSE,31230,FALSE
2025-02-18,11,Tuesday,FALSE,33580,FALSE
2025-02-18,12,Tuesday,FALSE,38321,TRUE
2025-02-18,13,Tuesday,FALSE,40995,TRUE
2025-02-18,14,Tuesday,FALSE,37415,TRUE
2025-02-18,15,Tuesday,FALSE,34784,FALSE
2025-02-18,16,Tuesday,FALSE,33699,FALSE
2025-02-18,17,Tuesday,FALSE,29308,FALSE
2025-02-18,18,Tuesday,FALSE,23291,FALSE
2025-02-18,19,Monday,FALSE,14988,FALSE
2025-02-18,20,Monday,FALSE,8666,FALSE
2025-02-18,21,Monday,FALSE,5553,FALSE
2025-02-18,22,Monday,FALSE,5008,FALSE
2025-02-18,23,Monday,FALSE,7619,FALSE
2025-02-19,0,Wednesday,FALSE,11684,FALSE
2025-02-19,1,Wednesday,FALSE,21097,FALSE
2025-02-19,2,Wednesday,FALSE,32456,FALSE
2025-02-19,3,Wednesday,FALSE,42337,TRUE
2025-02-19,4,Wednesday,FALSE,38750,TRUE
2025-02-19,5,Wednesday,FALSE,31709,FALSE
2025-02-19,6,Wednesday,FALSE,28871,FALSE
2025-02-19,7,Wednesday,FALSE,29308,FALSE
2025-02-19,8,Wednesday,FALSE,29608,FALSE
2025-02-19,9,Wednesday,FALSE,31012,FALSE
2025-02-19,10,Wednesday,FALSE,32586,FALSE
2025-02-19,11,Wednesday,FALSE,34237,FALSE
2025-02-19,12,Wednesday,FALSE,39042,TRUE
2025-02-19,13,Wednesday,FALSE,40689,TRUE
2025-02-19,14,Wednesday,FALSE,39893,TRUE
2025-02-19,15,Wednesday,FALSE,37470,TRUE
2025-02-19,16,Wednesday,FALSE,34994,FALSE
2025-02-19,17,Wednesday,FALSE,31820,FALSE
2025-02-19,18,Wednesday,FALSE,25296,FALSE
2025-02-19,19,Tuesday,FALSE,15162,FALSE
2025-02-19,20,Tuesday,FALSE,8148,FALSE
2025-02-19,21,Tuesday,FALSE,5509,FALSE
2025-02-19,22,Tuesday,FALSE,5044,FALSE
2025-02-19,23,Tuesday,FALSE,7577,FALSE
2025-02-20,0,Thursday,FALSE,12049,FALSE
2025-02-20,1,Thursday,FALSE,21030,FALSE
2025-02-20,2,Thursday,FALSE,32181,FALSE
2025-02-20,3,Thursday,FALSE,42678,TRUE
2025-02-20,4,Thursday,FALSE,39084,TRUE
2025-02-20,5,Thursday,FALSE,31808,FALSE
2025-02-20,6,Thursday,FALSE,29534,FALSE
2025-02-20,7,Thursday,FALSE,29490,FALSE
2025-02-20,8,Thursday,FALSE,31086,FALSE
2025-02-20,9,Thursday,FALSE,32516,FALSE
2025-02-20,10,Thursday,FALSE,34317,FALSE
2025-02-20,11,Thursday,FALSE,37747,TRUE
2025-02-20,12,Thursday,FALSE,43833,TRUE
2025-02-20,13,Thursday,FALSE,47193,TRUE
2025-02-20,14,Thursday,FALSE,45132,TRUE
2025-02-20,15,Thursday,FALSE,41013,TRUE
2025-02-20,16,Thursday,FALSE,38559,TRUE
2025-02-20,17,Thursday,FALSE,36595,FALSE
2025-02-20,18,Thursday,FALSE,32368,FALSE
2025-02-20,19,Wednesday,FALSE,16773,FALSE
2025-02-20,20,Wednesday,FALSE,9918,FALSE
2025-02-20,21,Wednesday,FALSE,6338,FALSE
2025-02-20,22,Wednesday,FALSE,5637,FALSE
2025-02-20,23,Wednesday,FALSE,8133,FALSE
2025-02-21,0,Friday,FALSE,12661,FALSE
2025-02-21,1,Friday,FALSE,21152,FALSE
2025-02-21,2,Friday,FALSE,31977,FALSE
2025-02-21,3,Friday,FALSE,39770,TRUE
2025-02-21,4,Friday,FALSE,37445,TRUE
2025-02-21,5,Friday,FALSE,32824,FALSE
2025-02-21,6,Friday,FALSE,31189,FALSE
2025-02-21,7,Friday,FALSE,31927,FALSE
2025-02-21,8,Friday,FALSE,32695,FALSE
2025-02-21,9,Friday,FALSE,33628,FALSE
2025-02-21,10,Friday,FALSE,35532,FALSE
2025-02-21,11,Friday,FALSE,38802,TRUE
2025-02-21,12,Friday,FALSE,44180,TRUE
2025-02-21,13,Friday,FALSE,48865,TRUE
2025-02-21,14,Friday,FALSE,50815,TRUE
2025-02-21,15,Friday,FALSE,47516,TRUE
2025-02-21,16,Friday,FALSE,45440,TRUE
2025-02-21,17,Friday,FALSE,47749,TRUE
2025-02-21,18,Friday,FALSE,45208,TRUE
2025-02-21,19,Thursday,FALSE,22810,FALSE
2025-02-21,20,Thursday,FALSE,14444,FALSE
2025-02-21,21,Thursday,FALSE,9435,FALSE
2025-02-21,22,Thursday,FALSE,7296,FALSE
2025-02-21,23,Thursday,FALSE,9317,FALSE
2025-02-22,0,Saturday,TRUE,11904,FALSE
2025-02-22,1,Saturday,TRUE,14731,FALSE
2025-02-22,2,Saturday,TRUE,18139,FALSE
2025-02-22,3,Saturday,TRUE,22784,FALSE
2025-02-22,4,Saturday,TRUE,28007,FALSE
2025-02-22,5,Saturday,TRUE,30916,FALSE
2025-02-22,6,Saturday,TRUE,32858,FALSE
2025-02-22,7,Saturday,TRUE,34302,FALSE
2025-02-22,8,Saturday,TRUE,35342,FALSE
